timestamp,elapsed_seconds,avg_brightness,avg_blur,face_ratio,missing_face_count,avg_face_area_ratio,avg_center_offset,avg_centeredness,avg_movement,movement_stability,focus_score,attention_state,label
1777827601.3085,1.59,185.7609,115.7822,0.7333,8,0.1006,0.2211,0.7789,23.2191,0.4195,0.7754,likely_focused,unlabeled
1777827602.4219,2.7,185.7515,129.0257,0.3667,19,0.0612,0.2315,0.7685,78.9938,0.0,0.5469,uncertain_present,unlabeled
1777827603.5315,3.81,191.2141,133.5894,1.0,0,0.2085,0.2556,0.7444,11.9647,0.7009,0.904,likely_focused,unlabeled
1777827604.5752,4.85,187.0084,140.1209,0.9667,1,0.1833,0.2956,0.7044,29.39,0.2653,0.819,likely_focused,unlabeled
1777827605.6758,5.95,186.4737,137.0771,1.0,0,0.2101,0.2798,0.7202,14.7575,0.6311,0.8887,likely_focused,unlabeled
1777827606.7521,7.03,186.2197,137.2321,0.7667,7,0.201,0.3059,0.6941,14.0173,0.6496,0.8046,likely_focused,unlabeled
1777827607.7707,8.05,186.2027,138.9356,0.8333,5,0.2059,0.3066,0.6934,34.1713,0.1457,0.7522,likely_focused,unlabeled
1777827608.7982,9.08,186.2772,141.0482,0.7,9,0.4189,0.2078,0.7922,51.9051,0.0,0.7034,likely_focused,unlabeled
1777827609.8113,10.09,187.139,140.9452,0.9,3,0.186,0.3281,0.6719,46.6463,0.0,0.7494,likely_focused,unlabeled
1777827610.8258,11.1,188.4507,141.9432,0.5333,14,0.1821,0.3115,0.6885,23.8141,0.4046,0.6851,uncertain_present,unlabeled
1777827611.8628,12.14,188.4649,142.6779,1.0,0,0.2203,0.3005,0.6995,39.2221,0.0194,0.7928,likely_focused,unlabeled
1777827613.0166,13.29,188.3015,141.1753,0.9667,1,0.215,0.2879,0.7121,22.4486,0.4388,0.8466,likely_focused,unlabeled
1777827614.0526,14.33,188.013,141.4653,0.9667,1,0.1814,0.2997,0.7003,4.8009,0.88,0.9104,likely_focused,unlabeled
1777827615.0813,15.36,186.4576,139.8011,0.8667,4,0.1892,0.2901,0.7099,4.9222,0.8769,0.8769,likely_focused,unlabeled
1777827616.1639,16.44,184.1997,138.5859,0.9667,1,0.2465,0.2739,0.7261,21.1127,0.4722,0.8544,likely_focused,unlabeled
1777827617.1779,17.46,183.0065,137.6259,1.0,0,0.2033,0.2947,0.7053,18.2906,0.5427,0.8725,likely_focused,unlabeled
1777827618.2321,18.51,182.5992,135.2206,0.4,18,0.1987,0.2886,0.7114,9.4307,0.7642,0.6969,uncertain_present,unlabeled
1777827619.2511,19.53,182.5935,135.6428,0.2667,22,0.1553,0.3243,0.6757,24.9486,0.3763,0.5849,uncertain_present,unlabeled
1777827620.2758,20.55,182.4313,135.4867,0.5667,13,0.1819,0.3052,0.6948,13.8031,0.6549,0.7355,likely_focused,unlabeled
1777827621.4125,21.69,182.2416,134.6526,0.7667,7,0.1889,0.3044,0.6956,6.2515,0.8437,0.834,likely_focused,unlabeled
1777827622.5238,22.8,182.233,133.5621,0.5,15,0.1811,0.3182,0.6818,14.2124,0.6447,0.7081,likely_focused,unlabeled
1777827623.6102,23.89,182.3008,137.3441,0.9,3,0.2095,0.2848,0.7152,13.8557,0.6536,0.8561,likely_focused,unlabeled
1777827624.7092,24.99,182.7851,137.5562,1.0,0,0.2519,0.265,0.735,25.6857,0.3579,0.8507,likely_focused,unlabeled
1777827625.7525,26.03,183.3134,131.4432,0.8,6,0.2037,0.2843,0.7157,6.5458,0.8364,0.8486,likely_focused,unlabeled
1777827626.7786,27.06,184.3022,135.0727,0.7667,7,0.184,0.2996,0.7004,6.022,0.8494,0.8358,likely_focused,unlabeled
