timestamp,elapsed_seconds,avg_brightness,avg_blur,face_ratio,missing_face_count,avg_face_area_ratio,avg_center_offset,avg_centeredness,avg_movement,movement_stability,focus_score,attention_state,label
1777514234.7617,2.42,150.6108,125.8812,1.0,0,0.3036,0.1797,0.8203,6.3235,0.8419,0.9403,likely_focused,focused
1777514236.7365,4.39,153.8145,158.0408,1.0,0,0.3159,0.2056,0.7944,3.8713,0.9032,0.9444,likely_focused,focused
1777514238.6382,6.25,154.1476,151.9897,1.0,0,0.297,0.1307,0.8693,5.297,0.8676,0.954,likely_focused,focused
1777514240.5165,8.12,154.3461,182.6806,1.0,0,0.3021,0.1295,0.8705,3.2627,0.9184,0.9619,likely_focused,focused
1777514242.3992,10.01,154.3978,185.8016,1.0,0,0.2943,0.1356,0.8644,2.7657,0.9309,0.9625,likely_focused,focused
1777514244.2047,11.86,154.3985,191.481,1.0,0,0.2824,0.1465,0.8535,3.6818,0.908,0.9569,likely_focused,focused
1777514246.1417,13.79,154.5189,195.8363,1.0,0,0.2783,0.1465,0.8535,3.1702,0.9207,0.9588,likely_focused,focused
1777514248.0173,15.63,154.2114,121.805,0.9667,1,0.2481,0.1837,0.8163,14.3127,0.6422,0.8979,likely_focused,focused
1777514250.1417,17.74,146.0971,78.1944,0.8333,5,0.1913,0.3019,0.6981,21.4295,0.4643,0.7846,likely_focused,focused
1777514252.3008,19.91,150.6696,191.3946,1.0,0,0.2569,0.2313,0.7687,4.1484,0.8963,0.9382,likely_focused,focused
1777514254.3858,22.04,155.7208,204.9717,1.0,0,0.2626,0.2054,0.7946,3.2162,0.9196,0.9469,likely_focused,focused
1777514256.7495,24.38,156.4085,202.224,1.0,0,0.2401,0.2309,0.7691,3.3355,0.9166,0.9413,likely_focused,focused
1777514259.1697,26.83,155.7432,199.9814,1.0,0,0.2368,0.2255,0.7745,9.5276,0.7618,0.9192,likely_focused,focused
1777514261.3591,29.0,146.6937,131.411,0.9667,1,0.1433,0.2108,0.7892,45.0255,0.0,0.7962,likely_focused,focused
1777514263.7491,31.41,143.9726,154.9778,0.9333,2,0.3725,0.2687,0.7313,14.9448,0.6264,0.8669,likely_focused,focused
1777514265.6962,33.35,146.9311,145.979,1.0,0,0.3668,0.2424,0.7576,6.4361,0.8391,0.9274,likely_focused,focused
1777514268.1107,35.73,150.4763,202.8926,1.0,0,0.312,0.2171,0.7829,4.6541,0.8836,0.9391,likely_focused,focused
1777514270.4249,38.08,150.7809,214.3857,1.0,0,0.2979,0.207,0.793,2.7404,0.9315,0.9483,likely_focused,focused
1777514272.6572,40.27,150.7892,207.9034,1.0,0,0.3057,0.2042,0.7958,3.1733,0.9207,0.9473,likely_focused,focused
1777514274.9878,42.61,154.3407,140.3926,1.0,0,0.2636,0.2061,0.7939,7.774,0.8056,0.9296,likely_focused,focused
1777514277.0991,44.76,152.4204,99.997,1.0,0,0.3565,0.2381,0.7619,8.1017,0.7975,0.922,likely_focused,focused
1777514279.4422,47.07,148.1188,152.1843,1.0,0,0.41,0.312,0.688,4.8645,0.8784,0.9194,likely_focused,focused
1777514281.5147,49.11,142.9484,145.5591,0.9333,2,0.2242,0.3468,0.6532,58.816,0.0,0.7573,likely_focused,focused
1777514284.0899,51.75,151.9603,157.0681,0.9667,1,0.2876,0.2198,0.7802,23.3245,0.4169,0.8569,likely_focused,focused
1777514286.5045,54.16,144.4862,152.2593,0.9,3,0.2829,0.2951,0.7049,30.1421,0.2464,0.7929,likely_focused,focused
1777514288.6492,56.31,144.9637,164.6757,1.0,0,0.4154,0.2767,0.7233,6.1237,0.8469,0.9217,likely_focused,focused
1777514290.6679,58.33,145.5677,177.0629,1.0,0,0.3944,0.3031,0.6969,3.1976,0.9201,0.9274,likely_focused,focused
1777514292.8199,60.43,145.6105,181.9353,1.0,0,0.3993,0.3061,0.6939,2.6644,0.9334,0.9288,likely_focused,focused
1777514294.9382,62.54,145.0417,180.1684,1.0,0,0.416,0.2792,0.7208,3.5257,0.9119,0.9309,likely_focused,focused
1777514297.233,64.85,144.8164,180.4934,1.0,0,0.4047,0.2689,0.7311,3.1728,0.9207,0.9343,likely_focused,focused
1777514299.382,66.98,144.77,182.4719,1.0,0,0.393,0.2776,0.7224,2.5365,0.9366,0.935,likely_focused,focused
1777514301.547,69.18,144.8008,181.3063,1.0,0,0.3775,0.2908,0.7092,2.4239,0.9394,0.9328,likely_focused,focused
1777514303.8991,71.56,144.5518,183.5752,1.0,0,0.3891,0.2912,0.7088,2.3766,0.9406,0.9328,likely_focused,focused
1777514306.0488,73.7,144.8034,182.7133,1.0,0,0.4052,0.2674,0.7326,4.1761,0.8956,0.9309,likely_focused,focused
1777514308.3218,75.97,144.9128,184.7929,1.0,0,0.388,0.275,0.725,2.4026,0.9399,0.936,likely_focused,focused
1777514310.6558,78.31,144.9129,184.5908,1.0,0,0.3897,0.2731,0.7269,3.1232,0.9219,0.9337,likely_focused,focused
1777514312.968,80.6,144.8091,183.6992,1.0,0,0.4213,0.2614,0.7386,2.7427,0.9314,0.9374,likely_focused,focused
1777514315.0946,82.71,147.4189,151.8242,1.0,0,0.3608,0.2265,0.7735,5.4743,0.8631,0.9342,likely_focused,focused
1777514317.2057,84.86,148.6383,170.9951,1.0,0,0.3645,0.2509,0.7491,3.8539,0.9037,0.9354,likely_focused,focused
1777514319.4135,87.07,148.6459,178.0666,1.0,0,0.3678,0.254,0.746,3.0342,0.9241,0.9378,likely_focused,focused
1777514321.5454,89.15,148.3893,172.9503,1.0,0,0.3671,0.2642,0.7358,5.1101,0.8722,0.928,likely_focused,focused
1777514323.7261,91.37,148.1594,164.3255,1.0,0,0.3575,0.2598,0.7402,3.4053,0.9149,0.9353,likely_focused,focused
1777514325.9297,93.55,148.4299,162.402,1.0,0,0.3685,0.2669,0.7331,4.454,0.8886,0.9299,likely_focused,focused
1777514328.1668,95.77,148.795,147.8161,1.0,0,0.382,0.2373,0.7627,5.2182,0.8695,0.933,likely_focused,focused
1777514330.4768,98.1,147.1992,167.9008,1.0,0,0.4073,0.2693,0.7307,4.6223,0.8844,0.9288,likely_focused,focused
1777514332.6935,100.35,147.7788,179.9542,1.0,0,0.4128,0.2773,0.7227,2.8485,0.9288,0.9339,likely_focused,focused
1777514334.9044,102.56,147.2989,182.2952,1.0,0,0.4152,0.2829,0.7171,3.2985,0.9175,0.931,likely_focused,focused
1777514337.0805,104.74,147.3686,182.7378,1.0,0,0.4105,0.2809,0.7191,2.8654,0.9284,0.9331,likely_focused,focused
